kml_name,health_inst_no,his_name
Dompe Divisional Hospital-A,PGP0005728,HHMIS
Teaching Hospital Kalutara Nagoda,LKT0000893,HHMIS
Divisional Hospital Wethara,PCB0004010,HHMIS
Talangama Divisional Hospital,PCB0004069,HHMIS
Divisional Hospital Halthota,PKT0010405,HHMIS
Teaching Hospital - Ratnapura,LRP0001149,HHMIS
National Hospital - Galle,LGL0000620,HHMIS
Weligama Government Hospital,PMR0012880,HHMIS
Base Hospital (Teaching) Gampola,LKY0000984,HHMIS
Teaching Hospital Polonnaruwa,LPN0001115,HHMIS
Teaching Hospital - Badulla,LBD0000083,HHMIS
Professor Senaka Bibile Memorial Hospital - Bibile,PMG0011866,HHMIS
Government Hospital - Maligawatte,PCB0004085,HHMIS
Puthukkudiyiruppu Divisional Hospital,PML0012302,HHMIS
Divisional Hospital - Akkarayankulam,,HHMIS
Baduraliya Government Hospital,PKT0010322,HHMIS
Divisional Hospital - Bakamoona,PPN0014589,HHMIS
Meegahathenna Hospital,PKT0010371,HHMIS
Base Hospital Mahaoya,PAP0002253,HHMIS
Valaichchenai Base Hospital,PBC0003061,HHMIS
Teaching Hospital - Anuradhapura,LAN0000034,HHMIS
Lady Ridgeway Hospital for Children (LRH),LCB0000216,HHMIS
Teaching Hospital Jaffna,LJF0000786,HIMS
Teaching Hospital Kurunegala,LKG0000828,HIMS
Apeksha Hospital,LCB0000208,HIMS
Teaching Hospital Peradeniya,LKY0001016,HIMS
Rajanganaya Tract 11 Hospital,PAN0001644,OpenMRS
Rajanganaya Tract 5 Regional Hospital,PAN0001651,OpenMRS
Divisional Hospital (B) - Madipola,PMT0013433,OpenMRS
Divisional Hospital (A) - Sigiriya,PMT0013508,OpenMRS
Wahacotte hospital,PMT0013730,OpenMRS
Divisional Hospital - Laggala,PMT0013797,OpenMRS
Illukkumbura Rural Hospital,PMT0013490,OpenMRS
Base Hospital Kalmunai South Ashroff Memorial,LKL0000869,HHIMS (Planned)
